passer_player_id,passer_player_name,dropbacks,dropbacks_latest,epa_per_db,cpoe,sack_rate,teams,primary_team,epa_shrunk,value_pts,league_epa_per_db
00-0040206,R.Leonard,70.0,70,-0.1449,-3.8709,0.0286,IND,IND,-0.0708,-2.5476,0.0
00-0038400,T.McKee,69.5,46,0.0386,0.5898,0.0538,PHI,PHI,-0.0307,-1.1059,0.0
00-0038128,M.Willis,69.5,38,0.4812,12.8989,0.1089,GB,GB,0.0656,2.36,0.0
00-0038583,D.Thompson-Robinson,63.0,0,-0.6042,-11.6683,0.0635,CLE,,-0.1615,-5.8158,0.0
00-0037324,C.Oladokun,62.5,62,-0.518,-3.9013,0.1429,KC,KC,-0.1436,-5.1693,0.0
00-0026300,J.Johnson,56.0,54,0.0354,3.5259,0.0517,"BAL,WAS",WAS,-0.0344,-1.2375,0.0
00-0033869,M.Trubisky,50.0,37,0.5813,6.9435,0.0,BUF,BUF,0.0552,1.9876,0.0
00-0038122,D.Ridder,47.0,0,-0.2737,-3.1811,0.1064,LV,,-0.0854,-3.0745,0.0
00-0032434,B.Allen,47.0,31,-0.6742,-9.2358,0.0476,"SF,TEN",TEN,-0.1488,-5.3562,0.0
00-0039398,J.Milton,38.5,24,0.1377,9.9856,0.0,"DAL,NE",DAL,-0.025,-0.8984,0.0
00-0033949,J.Dobbs,34.0,10,0.0514,2.4064,0.0345,"NE,SF",NE,-0.0379,-1.3632,0.0
00-0035264,J.Stidham,34.0,34,-0.4843,-5.8233,0.0882,DEN,DEN,-0.102,-3.6718,0.0
00-0034177,T.Boyle,25.5,0,-0.3196,-8.4788,0.0392,"MIA,NYG",,-0.0749,-2.6982,0.0
00-0038476,T.DeVito,25.0,0,-0.1998,4.7245,0.12,NYG,,-0.0636,-2.2902,0.0
00-0038998,J.Haener,22.5,0,-0.3718,-17.3184,0.1333,NO,,-0.0766,-2.7565,0.0
00-0031345,J.Garoppolo,22.5,0,0.0066,-3.0715,0.0667,LA,,-0.0453,-1.6318,0.0
00-0038582,C.Tune,21.0,20,-1.0024,-16.8211,0.2273,"ARI,GB",GB,-0.1238,-4.457,0.0
00-0037327,S.Thompson,19.5,0,-0.4373,2.2261,0.1538,MIA,,-0.078,-2.8089,0.0
00-0036679,S.Buechele,19.0,19,-0.3867,-16.7719,0.2632,KC,KC,-0.0738,-2.656,0.0
00-0031237,T.Bridgewater,17.5,17,-0.7457,-13.9705,0.1111,"DET,TB",TB,-0.0955,-3.4386,0.0
00-0038108,B.Zappe,16.0,0,-0.5661,-13.5541,0.0312,CLE,,-0.081,-2.9176,0.0
00-0037013,Z.Wilson,11.0,11,-0.6294,-7.3664,0.0,MIA,MIA,-0.0744,-2.679,0.0
00-0037077,S.Howell,9.0,0,-0.9048,-33.1993,0.2222,SEA,,-0.0797,-2.8693,0.0
00-0033357,T.Hill,8.0,6,-0.3565,-16.7725,0.0,NO,NO,-0.0595,-2.1422,0.0
00-0034401,M.White,5.5,0,-0.6899,-36.9008,0.0,BUF,,-0.0638,-2.2959,0.0
